Spot price,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
48.11,-1.0,-1.8369701987210294e-16,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
43.76,-0.9659258262890684,0.2588190451025203,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
34.55,-0.8660254037844386,0.5000000000000001,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
33.14,-0.7071067811865477,0.7071067811865474,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
31.66,-0.5000000000000004,0.8660254037844384,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
26.96,-0.2588190451025216,0.965925826289068,0.9945218953682732,0.10452846326765346,0.5,0.8660254037844387
21.2,0.0,1.0,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
8.39,0.25881904510252074,0.9659258262890684,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
3.88,0.5,0.8660254037844387,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
3.61,0.7071067811865476,0.7071067811865476,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
5.26,0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
22.93,0.9659258262890684,0.25881904510252074,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
27.61,1.0,6.123233995736766e-17,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
34.05,0.9659258262890684,-0.25881904510252063,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
34.41,0.8660254037844387,-0.4999999999999998,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
34.35,0.7071067811865476,-0.7071067811865475,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
35.38,0.5,-0.8660254037844387,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
40.36,0.258819045102521,-0.9659258262890682,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
41.81,1.2246467991473532e-16,-1.0,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
44.94,-0.2588190451025208,-0.9659258262890684,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
46.04,-0.4999999999999997,-0.8660254037844388,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
46.33,-0.7071067811865471,-0.7071067811865479,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
47.9,-0.8660254037844385,-0.5000000000000004,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
51.31,-0.9659258262890684,-0.25881904510252063,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
55.92,-1.0,-1.8369701987210294e-16,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
53.74,-0.9659258262890684,0.2588190451025203,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
48.1,-0.8660254037844386,0.5000000000000001,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
44.92,-0.7071067811865477,0.7071067811865474,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
41.71,-0.5000000000000004,0.8660254037844384,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
39.41,-0.2588190451025216,0.965925826289068,0.9945218953682734,-0.10452846326765332,0.5,0.8660254037844387
34.08,0.0,1.0,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
32.2,0.25881904510252074,0.9659258262890684,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
32.56,0.5,0.8660254037844387,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
32.35,0.7071067811865476,0.7071067811865476,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
29.2,0.8660254037844386,0.5000000000000001,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
31.28,0.9659258262890684,0.25881904510252074,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
39.59,1.0,6.123233995736766e-17,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
46.87,0.9659258262890684,-0.25881904510252063,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
47.92,0.8660254037844387,-0.4999999999999998,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
45.71,0.7071067811865476,-0.7071067811865475,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
43.76,0.5,-0.8660254037844387,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
40.53,0.258819045102521,-0.9659258262890682,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
37.88,1.2246467991473532e-16,-1.0,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
34.63,-0.2588190451025208,-0.9659258262890684,0.9510565162951536,-0.3090169943749473,0.5,0.8660254037844387
